"vehicle_year_name","vehicle_style","site_rating","vehicle_price","vehicle_mileage","vehicle_location","vehicle_ext_color","vehicle_int_color","vehicle_accident_count","vehicle_title_type","vehicle_mpg","vehicle_transmission","vehicle_fuel_type","vehicle_options_level","vehicle_engine","vehicle_drive_type","vehicle_usage_type"
"2019 Kia Soul","Base Automatic","Fair Price","$13,570","33,145","Yukon, OK","Titanium Gray","Black","0 reported accidents","Clean","26 cty / 31 hwy","Automatic","Gas","Fully Loaded","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2019 Hyundai Veloster","N Manual","Fair Price","$25,990","11,436","Oklahoma City, OK","Phantom Black","Black","0 reported accidents","Clean","22 cty / 28 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2016 Chevrolet Spark","LT with 1LT AT","Excellent Price","$6,999","58,618","Stillwater, OK","Titanium","Jet Black/White","0 reported accidents","Clean","30 cty / 39 hwy","Automatic","Gas","Standard","1.4L Inline-4 Gas","FWD","Personal or Rental Use"
"2019 Chevrolet Spark","LT with 1LT CVT","Excellent Price","$10,595","22,977","Oklahoma City, OK","Nightfall Grey","Jet Black/Dark Anderson Silver Metallic","0 reported accidents","Clean","30 cty / 38 hwy","Automatic","Gas","Minimal Options","1.4L Inline-4 Gas","FWD","Personal or Rental Use"
"2019 Kia Soul","+ Automatic","Excellent Price","$11,697","41,461","Midwest City, OK","Inferno Red","Black","1 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2012 Toyota Prius c","One","Excellent Price","$8,395","73,869","Oklahoma City, OK","Super White","Gray","0 reported accidents","Clean","53 cty / 46 hwy","Automatic","Hybrid","Standard","1.5L Inline-4 Hybrid","FWD","Personal or Rental Use"
"2012 Honda CR-Z","EX with Navigation Manual","Excellent Price","$6,450","121,569","Oklahoma City, OK","Red","Gray","2 reported accidents","Clean","31 cty / 37 hwy","Manual","Hybrid","Standard","1.5L Inline-4 Hybrid","FWD","Fleet or Mixed Use"
"2009 Kia Rio","SX Hatchback Manual","Excellent Price","$2,950","113,697","Oklahoma City, OK","Midnight Black","Unknown","0 reported accidents","Clean","27 cty / 32 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Ford Fiesta","S Hatchback","Excellent Price","$7,995","37,735","Oklahoma City, OK","Shadow Black","Unknown","2 reported accidents","Clean","28 cty / 36 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2010 Kia Soul","+ Manual","Excellent Price","$5,995","95,668","Oklahoma City, OK","Green","Gray","0 reported accidents","Clean","24 cty / 30 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2019 Kia Soul","+ Automatic","Excellent Price","$11,997","32,010","Midwest City, OK","Clear White","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Ford C-Max","Hybrid SE","Excellent Price","$9,226","78,150","Oklahoma City, OK","White Platinum Metallic Tri-Coat","Medium Light Stone","0 reported accidents","Clean","42 cty / 36 hwy","Automatic","Hybrid","Standard","2.0L Inline-4 Hybrid","FWD","Personal or Rental Use"
"2011 Nissan LEAF","SL","Excellent Price","$5,000","25,511","Oklahoma City, OK","Glacier Pearl","Light Grey","0 reported accidents","Clean","106 cty / 92 hwy","Automatic","Electric","Fully Loaded","L - Electric","FWD","Personal or Rental Use"
"2012 Lexus CT","CT 200h","Excellent Price","$11,990","96,947","Oklahoma City, OK","White","Black","0 reported accidents","Clean","43 cty / 40 hwy","Automatic","Hybrid","Standard","1.8L Inline-4 Hybrid","FWD","Personal or Rental Use"
"2010 Mitsubishi Lancer","GTS Sportback CVT","Excellent Price","$7,395","82,042","Oklahoma City, OK","Blue","Black","1 reported accidents","Clean","21 cty / 27 hwy","Automatic","Gas","Standard","2.4L Inline-4 Gas","FWD","Personal or Rental Use"
"2014 Mazda Mazda2","Sport Automatic","Excellent Price","$6,995","51,990","Bethany, OK","White","Gray","0 reported accidents","Clean","28 cty / 34 hwy","Automatic","Gas","Standard","1.5L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2010 Nissan Versa","1.8 S Hatchback Auto","Great Price","$5,595","68,497","Oklahoma City, OK","Blue","Black","1 reported accidents","Clean","24 cty / 32 hwy","Automatic","Gas","Standard","1.8L Inline-4 Gas","FWD","Personal or Rental Use"
"2019 Kia Soul","+ Automatic","Excellent Price","$13,590","43,941","Oklahoma City, OK","Shadow Black","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2015 Volkswagen Golf","TSI SEL 4-door Auto","Excellent Price","$14,990","26,763","Oklahoma City, OK","White","Black","0 reported accidents","Clean","25 cty / 36 hwy","Automatic","Gas","Standard","1.8L Inline-4 Gas Turbocharged","FWD","Fleet or Mixed Use"
"2016 Ford Fiesta","S Hatchback","Excellent Price","$8,226","41,367","Oklahoma City, OK","Shadow Black","Charcoal Black","0 reported accidents","Clean","28 cty / 36 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Kia Soul","EV","Excellent Price","$11,590","27,802","Oklahoma City, OK","Clear White","Gray 2-Tone","0 reported accidents","Clean","120 cty / 92 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Personal or Rental Use"
"2012 Nissan Versa","1.8 S Hatchback Auto","Excellent Price","$5,995","76,625","Bethany, OK","Brilliant Silver Metallic","Charcoal","1 reported accidents","Clean","24 cty / 32 hwy","Automatic","Gas","Well Equipped","1.8L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2017 Kia Soul","Base Automatic","Excellent Price","$11,990","51,976","Oklahoma City, OK","Clear White","Gray 2-Tone","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2019 Kia Soul","+ Automatic","Great Price","$13,950","42,185","Oklahoma City, OK","Bright Silver","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Chevrolet Spark","EV LT with 1SB AT","Excellent Price","$8,990","44,550","Oklahoma City, OK","Black Granite","Dark Pewter W/Silver Trim","0 reported accidents","Clean","128 cty / 109 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2015 Lexus CT","CT 200h","Excellent Price","$17,990","38,320","Oklahoma City, OK","Nebula Gray Pearl W/Black Roof","Black","0 reported accidents","Clean","43 cty / 40 hwy","Automatic","Hybrid","Standard","1.8L Inline-4 Hybrid","FWD","Fleet or Mixed Use"
"2014 BMW i3","60 Ah with Range Extender","Excellent Price","$13,990","68,625","Oklahoma City, OK","Laurel Gray Metallic W/Bmw I Frozen Blue Accent","Giga Cassia/Spice Gray","0 reported accidents","Clean","137 cty / 111 hwy","Automatic","Plug-In","Standard","0.6L Inline-2 Plug-In","RWD","Fleet or Mixed Use"
"2009 Toyota Yaris","3-Door Liftback Automatic","Great Price","$5,595","72,488","Oklahoma City, OK","Silver","Gray","0 reported accidents","Clean","29 cty / 35 hwy","Automatic","Gas","Standard","1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2015 Ford Focus","Electric Hatchback","Excellent Price","$10,590","42,190","Oklahoma City, OK","Oxford White","Other","0 reported accidents","Clean","110 cty / 99 hwy","Automatic","Electric","Standard","L - Electric","FWD","Personal or Rental Use"
"2013 Nissan LEAF","SV","Excellent Price","$8,990","64,986","Oklahoma City, OK","Blue Ocean","Black","0 reported accidents","Clean","129 cty / 102 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Personal or Rental Use"
"2009 Toyota Yaris","3-Door Liftback Automatic","Great Price","$5,595","77,864","Oklahoma City, OK","Yellow","Gray","1 reported accidents","Clean","29 cty / 35 hwy","Automatic","Gas","Standard","1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Volkswagen Golf","TSI SEL 4-door Hatchback Auto","Excellent Price","$13,590","84,806","Oklahoma City, OK","White","Black","0 reported accidents","Clean","25 cty / 36 hwy","Automatic","Gas",NA,"1.8L Inline-4 Gas Turbocharged","FWD","Fleet or Mixed Use"
"2018 Chevrolet Spark","LS Automatic","Great Price","$7,995","63,228","Bethany, OK","Mosaic Black","Jet Black","1 reported accidents","Clean","30 cty / 38 hwy","Automatic","Gas","Standard","1.4L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2017 Hyundai Accent","SE Hatchback Automatic","Great Price","$7,995","71,797","Bethany, OK","Ironman Silver Metallic","Black","0 reported accidents","Clean","26 cty / 36 hwy","Automatic","Gas","Minimal Options","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2016 Ford Focus","SE Hatchback","Excellent Price","$9,590","65,313","Oklahoma City, OK","Oxford White","Charcoal Black","0 reported accidents","Clean","26 cty / 36 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Kia Soul","Base Automatic","Great Price","$9,695","77,492","Oklahoma City, OK","Alien Ii","Black","0 reported accidents","Clean","24 cty / 30 hwy","Automatic","Gas","Fully Loaded","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2016 Chevrolet Spark","LT with 1LT AT","Excellent Price","$6,999","58,618","Stillwater, OK","Titanium","Jet Black/White","0 reported accidents","Clean","30 cty / 39 hwy","Automatic","Gas","Standard","1.4L Inline-4 Gas","FWD","Personal or Rental Use"
"2013 Nissan LEAF","SL","Excellent Price","$8,990","55,936","Oklahoma City, OK","Brilliant Silver","Black","0 reported accidents","Clean","129 cty / 102 hwy","Automatic","Electric","Fully Loaded","L - Electric","FWD","Fleet or Mixed Use"
"2016 Scion iM","Base CVT","Excellent Price","$12,590","75,561","Oklahoma City, OK","Silver","Black","0 reported accidents","Clean","28 cty / 37 hwy","Automatic","Gas","Standard","1.8L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 Kia Soul","+ Automatic","Excellent Price","$13,590","32,915","Oklahoma City, OK","Bright Silver","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Minimal Options","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Ford Focus","Electric Hatchback","Excellent Price","$10,990","26,908","Oklahoma City, OK","Oxford White","Medium Light Stone","0 reported accidents","Clean","110 cty / 99 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Fleet or Mixed Use"
"2013 Volkswagen Golf GTI","Autobahn 4-door DSG (PZEV)","Excellent Price","$16,590","29,743","Oklahoma City, OK","Red","Black","0 reported accidents","Clean","24 cty / 33 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2018 Chevrolet Spark","LS Automatic","Great Price","$9,995","16,007","Bethany, OK","Brimstone","Jet Black","0 reported accidents","Clean","30 cty / 38 hwy","Automatic","Gas","Fully Loaded","1.4L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2012 Ford Focus","SEL Hatchback","Excellent Price","$10,990","45,120","Oklahoma City, OK","Gray","Lt. Gray","0 reported accidents","Clean","28 cty / 38 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Kia Soul","Base Automatic","Great Price","$9,785","44,094","Oklahoma City, OK","Alien Ii","Black","Frame Damaged","Clean","24 cty / 30 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2019 Kia Soul","Base Automatic","Great Price","$13,400","19,107","Oklahoma City, OK","Bright Silver","Black","0 reported accidents","Clean","26 cty / 31 hwy","Automatic","Gas","Minimal Options","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2015 Honda Fit","EX Manual","Great Price","$11,291","60,799","Oklahoma City, OK","Crystal Black Pearl","Black","0 reported accidents","Clean","29 cty / 37 hwy","Manual","Gas","Standard","1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2012 Volkswagen Beetle","Turbo Manual","Great Price","$7,995","103,910","Oklahoma City, OK","Blue","Unknown","0 reported accidents","Clean","21 cty / 30 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2018 Ford Fiesta","SE Hatch","Great Price","$8,995","60,014","Bethany, OK","Shadow Black","Gray","0 reported accidents","Clean","27 cty / 35 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2015 MINI Hardtop","S Hardtop 2-Door","Excellent Price","$13,590","71,119","Oklahoma City, OK","Midnight Black Metallic","Carbon Black","0 reported accidents","Clean","24 cty / 34 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2017 Hyundai Accent","SE Hatchback Automatic","Great Price","$8,988","59,055","Oklahoma City, OK","Boston Red Metallic","Gray","0 reported accidents","Clean","26 cty / 36 hwy","Automatic","Gas","Fully Loaded","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2016 Kia Soul","+ Automatic","Great Price","$11,495","66,845","Oklahoma City, OK","Clear White","Black","0 reported accidents","Clean","24 cty / 31 hwy","Automatic","Gas","Minimal Options","2.0L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2015 Ford Focus","Titanium Hatchback","Excellent Price","$13,590","21,037","Oklahoma City, OK","Gray","Beige","0 reported accidents","Clean","26 cty / 38 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2015 Volkswagen Golf","TSI SEL 4-door Auto","Excellent Price","$13,990","58,812","Oklahoma City, OK","Blue","Black","0 reported accidents","Clean","25 cty / 36 hwy","Automatic","Gas","Standard","1.8L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2018 Volkswagen Golf","SE FWD Auto","Excellent Price","$15,990","45,685","Oklahoma City, OK","Blue","Black","0 reported accidents","Clean","24 cty / 33 hwy","Automatic","Gas","Standard","1.8L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2014 Hyundai Veloster","Turbo with Black Interior Automatic","Great Price","$10,585","82,063","Oklahoma City, OK","Marathon Blue Pearl","Black","0 reported accidents","Clean","24 cty / 31 hwy","Automatic","Gas","Fully Loaded","1.6L Inline-4 Gas Turbocharged","FWD","Fleet or Mixed Use"
"2019 Ford Fiesta","SE Hatchback","Excellent Price","$9,797","27,054","Dallas, TX","Ingot Silver Metallic","Unknown","0 reported accidents","Clean","27 cty / 35 hwy","Manual","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2018 Toyota Prius Prime","Advanced","Excellent Price","$22,590","23,440","Oklahoma City, OK","Silver","Black","0 reported accidents","Clean","N/A cty / N/A hwy","Automatic","Plug-In",NA,"1.8L Inline-4 Plug-In","FWD","Personal or Rental Use"
"2015 Nissan LEAF","S","Excellent Price","$10,990","23,391","Oklahoma City, OK","Cayenne Red","Black","0 reported accidents","Clean","126 cty / 101 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Personal or Rental Use"
"2014 Volkswagen Golf GTI","Driver's Edition DSG (PZEV)","Excellent Price","$15,990","62,116","Oklahoma City, OK","Gray","Black","0 reported accidents","Clean","24 cty / 32 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2016 Kia Forte","Forte5 EX Automatic","Excellent Price","$13,990","16,185","Oklahoma City, OK","Black","Black","0 reported accidents","Clean","25 cty / 33 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 Kia Soul","+ Automatic","Great Price","$12,999","59,066","Oklahoma City, OK","Shadow Black","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Minimal Options","2.0L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2015 MINI Hardtop","S Hardtop 2-Door","Great Price","$13,700","64,954","Edmond, OK","White Silver Metallic","Carbon Black","0 reported accidents","Clean","24 cty / 34 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2017 Chevrolet Bolt EV","LT","Excellent Price","$16,590","42,348","Oklahoma City, OK","Mosaic Black Metallic","Dark Galvanized/Sky Cool Gray","0 reported accidents","Clean","128 cty / 110 hwy","Automatic","Electric","Standard","L - Electric","FWD","Fleet or Mixed Use"
"2011 Audi A3","Premium Plus Hatchback 2.0 TDI FrontTrak S tronic","Excellent Price","$13,590","53,178","Oklahoma City, OK","Meteor Gray Pearl","Black","0 reported accidents","Clean","30 cty / 42 hwy","Automatic","Diesel","Standard","2.0L Inline-4 Diesel Turbocharged","FWD","Fleet or Mixed Use"
"2019 Ford Fiesta","SE Hatchback","Excellent Price","$9,897","25,785","Dallas, TX","Magnetic Metallic","Unknown","0 reported accidents","Clean","27 cty / 35 hwy","Manual","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2018 Mazda Mazda3","Touring 5-Door Automatic","Great Price","$15,750","51,446","Oklahoma City, OK","Machine Gray Metallic","Black","0 reported accidents","Clean","27 cty / 36 hwy","Automatic","Gas","Fully Loaded","2.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 Ford C-Max","Energi SE","Excellent Price","$13,590","32,056","Oklahoma City, OK","Kona Blue Metallic","Charcoal Black","0 reported accidents","Clean","104 cty / 87 hwy","Automatic","Plug-In","Standard","2.0L Inline-4 Plug-In","FWD","Personal or Rental Use"
"2017 FIAT 500","500e Hatch","Excellent Price","$6,733","29,263","Carrolton, TX","Billet Argento (Silver)","Black","0 reported accidents","Clean","121 cty / 103 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2017 FIAT 500","500e Hatch","Excellent Price","$7,187","20,873","Carrolton, TX","Billet Argento (Silver)","Black","0 reported accidents","Clean","121 cty / 103 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2014 BMW i3","60 Ah with Range Extender","Excellent Price","$14,590","58,890","Oklahoma City, OK","Laurel Gray Metallic W/Bmw I Frozen Blue Accent","Giga Cassia/Spice Gray","0 reported accidents","Clean","137 cty / 111 hwy","Automatic","Plug-In","Standard","0.6L Inline-2 Plug-In","RWD","Personal or Rental Use"
"2015 Kia Soul","Base Automatic","Excellent Price","$7,000","101,090","Lewisville, TX","Bright Silver","Black","0 reported accidents","Clean","24 cty / 30 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 BMW i3","94 Ah with Range Extender","Excellent Price","$17,884","31,877","Dallas, TX","Capparis White W/Bmw I Frozen Blue Accent","Bmw I Frozen","0 reported accidents","Clean","N/A cty / N/A hwy","Automatic","Plug-In","Standard","0.6L Inline-2 Plug-In","RWD","Personal or Rental Use"
"2016 Nissan LEAF","S (alt)","Excellent Price","$11,990","34,322","Oklahoma City, OK","Pearl White","Black","0 reported accidents","Clean","126 cty / 101 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Personal or Rental Use"
"2017 Toyota Prius Prime","Advanced","Excellent Price","$22,990","13,039","Oklahoma City, OK","Red","Black","0 reported accidents","Clean","N/A cty / N/A hwy","Automatic","Plug-In",NA,"1.8L Inline-4 Plug-In","FWD","Personal or Rental Use"
"2018 Nissan Versa","Note SV CVT","Great Price","$10,883","42,118","Oklahoma City, OK","Fresh Powder","Charcoal","0 reported accidents","Clean","31 cty / 39 hwy","Automatic","Gas","Minimal Options","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Ford Fiesta","S Hatchback","Excellent Price","$6,577","87,931","Broken Arrow, OK","Shadow Black","Charcoal Black","0 reported accidents","Clean","28 cty / 36 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Hyundai Accent","SE Hatchback Automatic","Great Price","$9,891","55,842","Oklahoma City, OK","Century White","Gray","0 reported accidents","Clean","26 cty / 37 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 Honda Fit","LX CVT","Great Price","$11,995","20,737","Bethany, OK","Milano Red","Black","1 reported accidents","Clean","33 cty / 40 hwy","Automatic","Gas",NA,"1.5L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2011 Kia Forte","SX 5-Door Automatic","Excellent Price","$5,300","122,480","Fort Worth, TX","Titanium Metallic","Black","0 reported accidents","Clean","23 cty / 32 hwy","Automatic","Gas","Standard","2.4L Inline-4 Gas","FWD","Personal or Rental Use"
"2011 MINI Hardtop","S Hardtop 2-Door","Great Price","$7,495","99,840","Oklahoma City, OK","Ice Blue","Unknown","0 reported accidents","Clean","27 cty / 36 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2018 Kia Soul","+ Automatic","Great Price","$14,726","14,918","Norman, OK","Bright Silver","Black","0 reported accidents","Clean","25 cty / 30 hwy","Automatic","Gas","Minimal Options","2.0L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2016 Volkswagen Golf R","Hatchback Manual","Excellent Price","$25,590","50,659","Oklahoma City, OK","Red","Black","0 reported accidents","Clean","22 cty / 31 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas Turbocharged","AWD","Personal or Rental Use"
"2015 Mazda Mazda3","s Grand Touring 5-Door Automatic","Excellent Price","$15,590","36,850","Oklahoma City, OK","Soul Red Metallic","Almond","0 reported accidents","Clean","27 cty / 37 hwy","Automatic","Gas","Standard","2.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 Hyundai Veloster","Value Edition DCT","Fair Price","$14,440","31,055","Del City, OK","Ironman Silver Metallic","Black","0 reported accidents","Clean","28 cty / 35 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
