vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2019 Volkswagen Jetta,S Automatic,High Price,"$14,850 ","31,387","Yukon, OK",Platinum Gray Metallic,Titan Black,0 reported accidents,Clean,30 cty / 40 hwy,Automatic,Gas,Standard,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2014 Chevrolet Volt,Hatch,Excellent Price,"$11,590 ","85,497","Oklahoma City, OK",White Diamond Tricoat,Jet Black Seats/Dark Accents,0 reported accidents,Clean,101 cty / 93 hwy,Automatic,Plug-In,Standard,1.4L Inline-4 Plug-In,FWD,Fleet or Mixed Use
2017 Honda Accord,Sport Special Edition Sedan CVT,Fair Price,"$14,991 ","100,418","Frisco, TX",Crystal Black Pearl,Black,1 reported accidents,Clean,26 cty / 34 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Toyota Corolla,LE CVT,Excellent Price,"$13,097 ","32,599","Midwest City, OK",Black Sand Pearl,Unknown,0 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,NA,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Nissan Sentra,SV CVT,Excellent Price,"$11,597 ","41,914","Midwest City, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2013 Hyundai Sonata,GLS 2.4L,NA,"$4,939 ","122,663","Del City, OK",Pacific Blue Pearl,Gray,0 reported accidents,Clean,24 cty / 35 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Nissan Sentra,SV CVT,Excellent Price,"$12,097 ","29,541","Midwest City, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Nissan Sentra,S CVT,Excellent Price,"$4,707 ","160,079","Del City, OK",Super Black,Charcoal,0 reported accidents,Clean,30 cty / 39 hwy,Automatic,Gas,Minimal Options,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2013 Mercedes-Benz C-Class,C 250 Sport Sedan RWD,Excellent Price,"$9,995 ","94,068","Oklahoma City, OK",Blue,Unknown,0 reported accidents,Clean,21 cty / 31 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas Turbocharged,RWD,Fleet or Mixed Use
2016 Hyundai Sonata,Base 2.4L,Excellent Price,"$11,995 ","29,916","Bethany, OK",Symphony Silver,Gray,0 reported accidents,Clean,25 cty / 38 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Hyundai Sonata,Limited 2.4L Automatic,Excellent Price,"$9,995 ","83,935","Oklahoma City, OK",Phantom Black Metallic,Black,1 reported accidents,Clean,24 cty / 35 hwy,Automatic,Gas,Fully Loaded,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Chevrolet Impala,LT with 1LT,Great Price,"$17,797 ","20,000","Midwest City, OK",Silver Ice Metallic,Jet Black,0 reported accidents,Clean,22 cty / 29 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2013 Hyundai Elantra,GLS Sedan Automatic,Excellent Price,"$5,998 ","112,725","Del City, OK",Midnight Black,Beige,1 reported accidents,Clean,28 cty / 38 hwy,Automatic,Gas,Well Equipped,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Volkswagen Jetta,S Automatic,Excellent Price,"$12,597 ","43,710","Midwest City, OK",Platinum Gray Metallic,Titan Black,0 reported accidents,Clean,30 cty / 40 hwy,Automatic,Gas,Standard,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2016 Nissan Altima,2.5 S,Excellent Price,"$10,785 ","61,000","Oklahoma City, OK",Brilliant Silver,Charcoal,0 reported accidents,Clean,27 cty / 39 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2011 Hyundai Equus,Ultimate,Great Price,"$12,785 ","96,710","Del City, OK",Black Noir Pearl,Jet Black,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Standard,4.6L V-8 Gas,RWD,Personal or Rental Use
2014 Volkswagen Jetta,S Sedan Auto,Excellent Price,"$5,995 ","126,937","Bethany, OK",Platinum Gray Metallic,Gray,0 reported accidents,Clean,23 cty / 29 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Chevrolet Cruze,LT with 2LT Automatic,Excellent Price,"$8,991 ","73,629","Oklahoma City, OK",Black Granite Metallic,Jet Black,0 reported accidents,Clean,26 cty / 38 hwy,Automatic,Gas,Minimal Options,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Toyota Corolla,LE CVT,Excellent Price,"$12,650 ","30,579","Midwest City, OK",Falcon Gray Metallic,Black,0 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,NA,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2009 Honda Civic,LX Sedan Automatic,Great Price,"$5,400 ","151,808","Oklahoma City, OK",Alabaster Silver Metallic,Gray,0 reported accidents,Clean,25 cty / 36 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2016 Hyundai Elantra,SE Sedan Automatic,Excellent Price,"$8,900 ","87,751","Del City, OK",Shale Gray Metallic,Gray,0 reported accidents,Clean,28 cty / 38 hwy,Automatic,Gas,Fully Loaded,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2011 Toyota Avalon,Limited,Excellent Price,"$8,995 ","124,768","Bethany, OK",Burgundy,Black/Bordeaux,0 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Fleet or Mixed Use
2015 Nissan Altima,2.5 SL,Excellent Price,"$10,495 ","90,322","Oklahoma City, OK",Cayenne Red,Charcoal,0 reported accidents,Clean,27 cty / 38 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Toyota Camry,SE I4 Automatic,Excellent Price,"$12,995 ","72,738","Bethany, OK",Midnight Black Metallic,Gray,0 reported accidents,Clean,24 cty / 33 hwy,Automatic,Gas,NA,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2011 Nissan Maxima,3.5 SV,Excellent Price,"$4,995 ","207,099","Oklahoma City, OK",Super Black,Cafe Latte,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Volkswagen Passat,S 1.8T Auto,Excellent Price,"$9,995 ","77,263","Bethany, OK",Reef Blue Metallic,Moonrock Gray,0 reported accidents,Clean,23 cty / 34 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2013 Nissan Maxima,3.5 S,Excellent Price,"$9,861 ","114,894","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Fleet or Mixed Use
2019 Nissan Sentra,SV CVT,Excellent Price,"$11,450 ","40,245","Midwest City, OK",Gun Metallic,Charcoal,1 reported accidents,Clean,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2009 Hyundai Sonata,GLS I4 Automatic,Excellent Price,"$5,995 ","77,404","Oklahoma City, OK",Blue,Tan,2 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,NA,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Nissan Sentra,SV CVT,Excellent Price,"$10,740 ","61,248","Oklahoma City, OK",Graphite Blue,Charcoal,0 reported accidents,Clean,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Honda Civic,EX Sedan CVT,Fair Price,"$10,795 ","81,469","Oklahoma City, OK",Crimson Pearl,Gray,2 reported accidents,Clean,30 cty / 39 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2013 Toyota Camry,SE I4 Automatic,Excellent Price,"$9,950 ","105,791","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,25 cty / 35 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2015 Nissan Versa,1.6 SV CVT,Fair Price,"$6,995 ","82,929","Oklahoma City, OK",Charcoal,Black,Frame Damaged,Clean,31 cty / 40 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas,FWD,Fleet or Mixed Use
