vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2015 Ford Explorer,XLT FWD,Great Price,"$14,701 ","92,475","Stillwater, OK",Ingot Silver Metallic,Medium Light Stone,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Nissan Murano,SL FWD,Excellent Price,"$15,990 ","90,089","Oklahoma City, OK",Pearl White,Beige,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Fully Loaded,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,Value AWD,Fair Price,"$19,020 ","29,757","Yukon, OK",Coliseum Gray,Gray,0 reported accidents,Clean,22 cty / 25 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,AWD,Fleet or Mixed Use
2019 Dodge Journey,GT AWD,Excellent Price,"$19,977 ","28,446","Oklahoma City, OK",Granite Pearlcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Fleet or Mixed Use
2016 Nissan Rogue,SV AWD,High Price,"$11,995 ","99,202","Bethany, OK",Magnetic Black,Charcoal,Frame Damaged,Clean,25 cty / 32 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2015 Nissan Rogue,SV AWD,Excellent Price,"$8,950 ","112,359","Oklahoma City, OK",Brilliant Silver,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2019 Dodge Journey,GT FWD,Excellent Price,"$16,857 ","34,234","YUKON, OK",Billet Clearcoat,Black/Red,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Personal or Rental Use
2010 Chevrolet Equinox,LTZ AWD,Excellent Price,"$6,999 ","134,670","Oklahoma City, OK",Gold Mist Metallic,Jet Black,0 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,AWD,Fleet or Mixed Use
2014 Ford Edge,SEL FWD,Excellent Price,"$8,199 ","174,662","Del City, OK",Mineral Gray Metallic,Charcoal Black,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2011 Honda Pilot,EX-L with Navigation 4WD,Excellent Price,"$9,988 ","146,763","Oklahoma City, OK",Burgundy,Tan,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2010 Lexus RX,RX 350 AWD,Excellent Price,"$10,988 ","166,664","Oklahoma City, OK",Black Sapphire Pearl,Black,1 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Fleet or Mixed Use
2011 Volvo XC60,3.2L AWD,Excellent Price,"$7,488 ","130,262","Oklahoma City, OK",Gray,Tan,1 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,AWD,Personal or Rental Use
2012 Ford Escape,Limited 4WD,Excellent Price,"$5,995 ","140,832","Oklahoma City, OK",Black,Charcoal Black,2 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,4WD,Fleet or Mixed Use
